ticker,company,sector,industry,source_bucket,thesis_tag,style_tag,short_reason,possible_disqualifier,mkt_cap_tier,already_analyzed,priority,triage_rec,confidence,as_of_date
ODFL,Old Dominion Freight Line,Industrials,LTL Trucking,seed,quality_compounder,compounder,"Best-in-class LTL margins; service quality compounds share gains","Freight cycle downturn; macro-sensitive revenue",large,false,medium,maybe,high,2026-03-11
SHW,Sherwin-Williams Co.,Consumer,Specialty Coatings,seed,quality_compounder,compounder,"Paint distribution dominance; pro contractor loyalty deep","Housing remodel cycle slowdown; raw material inflation",mega,false,medium,maybe,high,2026-03-11
FAST,Fastenal Co.,Industrials,Industrial Distribution,seed,quality_compounder,compounder,"On-site vending lock-in; industrial cycle recovery beneficiary","Industrial capex softness; Amazon Business undercutting",large,false,medium,maybe,high,2026-03-11
POOL,Pool Corp.,Consumer,Pool Supplies Distribution,seed,quality_compounder,compounder,"Dominant pool supply distributor; installed base non-discretionary","New pool construction halted; housing market stall",mid,false,medium,maybe,high,2026-03-11
MTD,Mettler-Toledo Intl.,Industrials,Precision Instruments,seed,quality_compounder,compounder,"Lab/industrial precision instruments; pricing power and switching costs","Pharma and China lab capex slowdown",large,false,medium,maybe,high,2026-03-11
WST,West Pharmaceutical Services,Healthcare,Drug Delivery Components,seed,quality_compounder,compounder,"Sole-source injectable packaging; GLP-1 injectable wave tailwind","Destocking cycle hit revenue; GLP-1 ramp slower than hoped",mid,false,medium,maybe,high,2026-03-11
MU,Micron Technology Inc.,Technology,Memory Semiconductors,sector_leader,secular_growth,cyclical,"HBM memory for AI GPUs; 240% return reflects structural shift","Memory is inherently cyclical; DRAM oversupply risk",large,false,medium,maybe,medium,2026-03-11
LRCX,Lam Research Corp.,Technology,Semiconductor Equipment,sector_leader,sector_leader,compounder,"Etch/deposition equipment leader; NAND recovery + AI capex","China export controls; semicon capex cyclicality",large,false,medium,maybe,medium,2026-03-11
PG,Procter & Gamble Co.,Consumer,Consumer Staples,sector_leader,sector_leader,income,"Defensive consumer staples with pricing power; 67-year dividend","Volume loss to private label; limited growth at this scale",mega,false,medium,no,high,2026-03-11
RKLB,Rocket Lab USA,Industrials,Space Launch / Satellites,tracked,secular_growth,speculative,"Electron launch monopoly in small-sat; Neutron development","Pre-profit; SpaceX Falcon 9 competitive pressure",mid,true,medium,no,medium,2026-03-11
TSLA,Tesla Inc.,Consumer,Electric Vehicles / Energy,tracked,secular_growth,speculative,"FSD + energy storage expanding beyond EV; optionality play","Brand damage; EV market share erosion; premium valuation",mega,true,medium,no,medium,2026-03-11
HIMS,Hims & Hers Health Inc.,Healthcare,Telehealth / Consumer Health,tracked,secular_growth,speculative,"GLP-1 compounding + telehealth platform scaling fast","Regulatory risk on GLP-1 compounding; pre-scale economics",mid,true,medium,no,medium,2026-03-11
MAERSK-B.CO,AP Møller-Maersk B,Industrials,Container Shipping / Logistics,tracked,mean_reversion,cyclical,"Integrated logistics pivot; shipping rates stabilizing","Shipping overcapacity cycle; commodity earnings volatility",large,true,medium,no,medium,2026-03-11
ORSTED.CO,Ørsted A/S,Utilities,Offshore Wind Energy,tracked,turnaround,recovery,"Offshore wind leader post-restructuring; US policy clarity","US offshore wind policy reversal; high leverage",mid,true,medium,no,low,2026-03-11
